Robot	year	DOF	note				Brands
ASIMO	2001	34					KUKA
BigDog	2005	16					
Robonova	2007	16					
Biloid (ROBOTIS)	2007	20					
DARwin-OP (ROBOTIS)	2010	20					
iRobot Create	2007	2					
KHR-1 (Kondo Kagaku)	2004	17					
PUMA (Westinghouse)	1975	6	developed while at stanfored by Victor Scheinman				
Da Vinci Surgical System	1998	28	7 per arm 4 arms				
UNIMATE (GM)	1954	6	die casting				
PackBot (iRobot)	1998	11					
Nao (Aldebaran)	2004	25					
Spirit/Opportunity (NASA)	2004	30					
AIBO (Sony)	1999	20					
Shakey the robot	1966	2	first autonomous robot				
Sojourner (NASA)	1997	15	First USA robot on mars, as part of the path finder mission				
Mini-Hubo	2009	22	Mini verions of hubo				
ATHLETE (NASA)	2008	36					
Boe-Bot	2001	2					
FRIEND	2003	9	Care-Providing Robot 7 dof shunk + wheels				
Choromet	2004	30					
Dragon Runner	2002	4	military				
DRDO Daksh	2008	12	military				
Flame	2003	20					
TALON (Foster-Miller)	2003	7					
Geminoid (Hiroshi Ishiguro)	2005	30	Human like more then 30 dof in face				
HAL (Hybrid Assistive Limb)	2011	35					
P3 (Honda)	1997	28					
HRP-1	1997	28					
HRP-2P	1998	30					
HRP-2 Promet	2002	30					
HRP-3P	2005	36					
HRP-3 Promet MK-II	2007	42					
HRP-4C	2009	42					
HRP-4C	2010	34					
Dirt Dog (iRobot)	2010	2					
Ranger (iRobot)	2009	3	UUV				
Seaglider (iRobot)	2008	4	UUV				
Warrior (iRobot)	2008	13	military				
Kanguera	2007	20					
Kobian	2009	35	expressing emotion				
Koolvac	2005	3					
Roomba (iRobot)	2002	3					
Lewis	2002	5	Wedding Photographer				
LittleDog (BD)	2005	12					
CHEETAH (BD)	2012	15					
PETMAN (BD)	2010	30					
RiSE (BD)	2006	35					
Looj	2008	3	rain gutter cleaner				
MANOI PF01	2007	17					
Orazio	2004	3	vaccume cleaner				
Open PINO Platform	2006	28	humanoid				
Plen	2007	18					
RoboMop	2011	2					
Robosapien	2005	11					
Adam	2009	40	robot scientist (estimated DOF)				
Roboreptile	2006	11					
Ropid	2012	30					
RuBot II	2011	24	Rubix cube solving robot				
Seropi (KITECH)	2010	21					
